semaforo;localizacao1;localizacao2;funcionamento;utilizacao;sinalsonoro;sinalizadorciclista;Latitude;Longitude
94;Belém, Estrada de;Prudente de Moraes, Rua;E;Veicular;N;N;-8.032989;-34.884563
95;Norte Miguel Arraes de Alencar, Av.;D. Luiz, Largo;E/Git;Veicular;N;N;-8.021323;-34.917489
96;Norte Miguel Arraes de Alencar, Av.;Mangabeira, Rua da;E/Git;Veicular;N;N;-8.025589;-34.906581
97;Norte Miguel Arraes de Alencar, Av.;E/F a Paróquia de São Sebastião;E/Git;Veic.C/Ped.Ocas.;N;N;-8.043957;-34.882417
98;Santos Dumont, Av.;José Maria, Rua Dr.;E/Git;Veicular;N;N;-8.035649;-34.897487
99;Conselheiro Rosa e Silva, Av.;Barão de contendas, Rua;E/Git;Ocasional/Ped.;N;N;-8.041708;-34.898009
100;Bongi, Estrada Velha do;Cosme Viana, Rua;E;Veicular;N;N;-8.068287;-34.909790
101;Jean Emile Favre, Rua;Blumenau, Rua;E;Veicular;N;N;-8.109943;-34.918273
102;Rui Barbosa, Av.;Creoulas, Rua das;E/Git;Veicular;N;N;-8.049903;-34.898007
103;Antônio de Góis, Av.;Manoel de Brito, Rua;E/Git;Veicular;N;N;-8.085444;-34.886685
104;Boa Viagem, Av.;Herculano Bandeira, Rua;E/Git;Veic.C/Ped.Paral.;N;S;-8.091769;-34.882053
105;Boa Viagem, Av.;Thomé Gibson, Rua;E/Git;Veic.C/Ped.Paral.;N;S;-8.099740;-34.884436
106;Real da Torre, Rua;Conde de Irajá, Rua;E/Git;Veicular;N;N;-8.046317;-34.909548
107;17 de Agosto, Av.;Estrada do Arraial;E/Git;Veicular;N;N;-8.027788;-34.927156
108;Agamenon Magalhães, Av. Gov.;Em frente à DRT;E/Git;Ocasional/Ped.;S;N;-8.043536;-34.887514
109;Maurício de Nassau, Av.;Próx. Rua Santa Lúcia;E;Ocasional/Ped.;N;N;-8.039282;-34.929594
110;Boa Viagem, Av.;Pereira da Costa, Rua;E/Git;Ocasional/Ped.;N;S;-8.095900;-34.883112
111;Itanagé, Rua;Blumenau, Rua;E;Veicular;N;N;-8.106442;-34.921326
112;Boa Viagem, Av.;Padre Carapuceiro, Rua;E/Git;Ocasional/Ped.;N;S;-8.120273;-34.895078
113;Boa Viagem, Av.;Ernesto de Paula Santos, Rua;E/Git;Veic.C/Ped.Paral.;N;S;-8.125274;-34.897142
114;Conselheiro Aguiar, Av.;Benedito Chaves, Rua Cel.;E/Git;Veicular;N;N;-8.129069;-34.898560
115;Conselheiro Aguiar, Av.;Padre Carapuceiro, Rua;E/Git;Veicular;N;N;-8.120288;-34.895068
116;Mascarenhas de Morais, Av. sentido Cid/Sub;Após o viaduto Tancredo Neves;E/Git;Ocasional/Ped.;N;N;-8.125110;-34.915075
117;Boa Viagem, Av.;3º Jardim;E/Git;Ocasional/Ped.;N;S;-8.108815;-34.888605
118;Boa Viagem, Av.;1º Jardim;E/Git;Ocasional/Ped.;N;S;-8.101374;-34.885168
119;Boa Viagem, Av.;Ondina, Rua;E/Git;Ocasional/Ped.;N;S;-8.094196;-34.882681
120;Boa Viagem, Av.;Bruno Veloso, Rua;E/Git;Veic.C/Ped.Paral.;N;S;-8.121939;-34.895997
121;Boa Viagem, Av.;Atlântico, Rua do;E/Git;Ocasional/Ped.;N;S;-8.098279;-34.883756
122;Frei Matias Teves, Av.;Dr. João Ásfora, Rua;E/Git;Veicular;N;N;-8.063672;-34.896197
123;Boa Viagem, Av.;Benvinda de Farias, Rua;E/Git;Veic.C/Ped.Paral.;N;S;-8.111829;-34.889969
124;Boa Viagem, Av.;2º Jardim;E/Git;Ocasional/Ped.;N;S;-8.104509;-34.886665
125;Conselheiro Aguiar, Av.;Padre Bernadino Pessoa, Rua;E/Git;Veicular;N;N;-8.114538;-34.893663
126;Rui Barbosa, Av.;Esmeraldino Bandeira, Rua;E/Git;Veicular;N;N;-8.047637;-34.899890
127;Conselheiro Aguiar, Av.;Ernesto de Paula Santos, Rua;E/Git;Veicular;N;N;-8.124892;-34.899121
128;Domingos Ferreira, Av.;Benedito Chaves, Rua Cel.;E/Git;Veicular;N;N;-8.127933;-34.901425
129;Visconde de Jequitinhonha, Av.;Barão de Souza Leão, Rua;E/Git;Veicular;N;N;-8.131572;-34.902889
130;Recife, Av.;Jean Emile Favre, Rua;E/Git;Veicular;N;N;-8.115394;-34.924526
131;Beberibe, Av.;José dos Anjos, Av. Prof.;E/Git;Veicular;N;N;-8.027954;-34.892919
132;Abdias de Carvalho, Av.;João Ivo, Rua;E/Git;Veicular;N;N;-8.062088;-34.909676
133;Conselheiro Aguiar, Av.;Souto Filho, Após a Rua;E/Git;Ocasional/Ped.;N;N;-8.092824;-34.883905
134;Mário Alves de Lira, Av.;Xavier de Brito, Rua;E/Git;Veicular;N;N;-8.046993;-34.936048
135;Jean Emile Favre,;Rua	COSTA E SILVA, AV;;;;;-8.115302;-34.922666
136;Paula Batista, Rua;Nereu Guerra, Rua;E/Git;Veicular;N;N;-8.025550;-34.915383
137;Herculano Bandeira, Rua;Miranda Falcão, Rua;E/Git;Ocasional/Ped.;N;N;-8.088874;-34.885203
138;Herculano Bandeira, Rua;Conselheiro Aguiar, Av.;E/Git;Veicular;N;N;-8.090466;-34.883615
139;Domingos Ferreira, Av.;Benvinda de Farias, Rua;E/Git;Veicular;N;N;-8.110533;-34.892364
140;Conselheiro Aguiar, Av.;Pereira da Costa, Rua;E/Git;Veicular;N;N;-8.095521;-34.884655
141;Dantas Barreto, Av.;Siqueira Campos, Rua;E/Git;Veicular;N;N;-8.062692;-34.878243
142;Domingos Ferreira, Av.;Pereira da Costa, Rua;E/Git;Veicular;N;N;-8.095197;-34.885913
143;Conselheiro Aguiar, Av.;Benvinda de Farias, Rua;E/Git;Veicular;N;N;-8.110957;-34.891519
144;Domingos Ferreira, Av.;Padre Bernadino Pessoa, Rua;E/Git;Veicular;N;N;-8.114084;-34.894511
145;Domingos Ferreira, Av.;Antônio Falcão, Rua;E/Git;Veicular;N;N;-8.115744;-34.895531
146;Conselheiro Aguiar, Av.;Bruno Veloso, Rua;E/Git;Veicular;N;N;-8.121770;-34.897939
147;Conselheiro Aguiar, Av.;Ribeiro de Brito, Rua;E/Git;Veicular;N;N;-8.123740;-34.898664
148;Boa Viagem, Av.;Mário de Castro, Rua Prof.;E/Git;Veic.C/Ped.Paral.;N;S;-8.137039;-34.901918
149;Boa Viagem, Av.;Baltazar Passos, Rua;E/Git;Veic.C/Ped.Paral.;N;S;-8.145063;-34.905147
150;Boa Viagem, Av.;Antônio Veloso, Rua Cel.;E/Git;Ocasional/Ped.;N;S;-8.148817;-34.906892
151;Lins Pettit, Av.;Praça Chora Menino, Em frente;E/Git;Ocasional/Ped.;S;N;-8.060402;-34.894791
152;Boa Viagem, Av.;Benedito Chaves, Rua;E/Git;Ocasional/Ped.;N;S;-8.129072;-34.898562
153;Beberibe, Av.;Próx. São Joaquim do Monte, Rua;E;Ocasional/Ped.;N;N;-8.017012;-34.891978
154;Visconde de Jequitinhonha, Av.;Baltazar Passos, Rua;E/Git;Veicular;N;N;-8.144380;-34.906482
155;Domingos Ferreira, Av.;Ribeiro de Brito, Rua;E/Git;Veicular;N;N;-8.123574;-34.899789
156;José Rufino, Av. Dr.;E/F ao Colégio Castelo Branco;E;Ocasional/Ped.;N;N;-8.091613;-34.949282
157;Aprígio Guimarães, Rua;Paulino de Farias, Rua;E;Veicular;N;N;-8.087130;-34.965563
158;Visconde de Jequitinhonha, Av.;Mário de Castro, Rua Prof.;E/Git;Veicular;N;N;-8.136528;-34.903513
159;Barão de Souza Leão, Rua;Sá e Souza, Rua;E/Git;Veic.C/Ped.Ocas.;N;N;-8.132055;-34.906769
160;dos Navegantes, Rua;Bruno Veloso, Rua;E/Git;Veic.C/Ped.Ocas.;S;N;-8.121887;-34.896770
161;Mascarenhas de Morais, Av.;Jean Emile de Favre, Rua;E/Git;Ocasional/Ped.;S;N;-8.106314;-34.911444
162;Conde da Boa Vista, Av.;Aurora, Rua da;E/Git;Veic.C/Ped.;S;N;-8.062052;-34.881642
163;Dantas Barreto, Av.;Nova, Rua;E/Git;Pedestre;N;N;-8.064378;-34.878424
164;Martins de Barros, Av.;República, Pca. da;E;Veicular;N;N;-8.061638;-34.876530
165;Apolo, Cais do;Marquez de Olinda, Av.;E/Git;Veicular;N;N;-8.063737;-34.874422
166;Espinheiro, Rua do;48, Rua;E/Git;Veicular;N;N;-8.042306;-34.892561
167;Princesa Isabel, Rua;União, Rua da;E/Git;Pedestre;N;N;-8.059131;-34.880605
168;Princesa Isabel, Rua;Saudade, Rua da;E/Git;Veicular;N;N;-8.058763;-34.881174
169;Manoel Borba, Av.;Gervásio Pires, Rua;E/Git;Veicular;N;N;-8.061105;-34.887367
170;Príncipe, Rua do;E/F à UNICAP;E;Ocasional/Ped.;S;N;-8.055811;-34.887862
171;Cruz Cabugá, Av.;Mário Melo, Av.;E/Git;Veicular;N;S;-8.053960;-34.881592
172;Visconde de Suassuna, Av.;13 de Maio, Rua;E/Git;Veicular;N;N;-8.053806;-34.884457
173;Agamenon Magalhães, Av. Gov.;Bandeira Filho, Rua Dr.;E/Git;Veicular;N;N;-8.051467;-34.895077
174;Agamenon Magalhães, Av. Gov.;Dom Bosco, Rua;E/Git;Veicular;N;N;-8.053390;-34.896415
175;Riachuelo, Rua do;Gervásio Pires, Rua;E/Git;Veicular;N;N;-8.058313;-34.885652
176;Príncipe, Rua do;Bispo Cardoso Aires, Rua;E/Git;Veicular;N;N;-8.056649;-34.886316
177;Amélia, Rua;Futuro, Rua do;E/Git;Veicular;N;S;-8.045157;-34.898335
178;Amélia, Rua;Antônio Novaes, Rua;E/Git;Ocasional/Ped.;N;N;-8.044977;-34.900298
179;José Osório, Rua;Real da Torre, Rua;E/Git;Veicular;N;N;-8.053547;-34.908646
180;Concórdia, Rua da;São João, Rua de;E/Git;Veicular;N;N;-8.069743;-34.882977
181;Dantas Barreto, Av.;Peixoto, Rua do;E/Git;Veicular;N;N;-8.071401;-34.883221
182;Concórdia, Rua da;Peixoto, Rua do;E/Git;Veicular;N;N;-8.070961;-34.883875
183;Fernando Simões Barbosa, Av.;Jack Aires, Rua;E/Git;Veic.C/Ped.Ocas.;N;N;-8.119451;-34.901152
184;Barão de Itamaracá, Rua;Hora, Rua da;E/Git;Veicular;N;N;-8.043834;-34.892819
185;Gal. San Martin, Av.;Próx. Clotilde de Oliveira, Rua;E;Ocasional/Ped.;N;N;-8.052688;-34.922385
186;Beberibe, Av.;Coragem, Rua da;E/Git;Veicular;N;N;-8.036111;-34.891244
187;Beberibe, Av.;Regeneração, Rua da;E;Veicular;N;N;-8.018510;-34.893277
188;Santos Dumont, Av.;Futuro, Rua do;E/Git;Veicular;N;N;-8.040902;-34.900096
189;Dom Manoel de Medeiros, Rua;E/F ao LAFEPE;E;Ocasional/Ped.;S;N;-8.015859;-34.943677
190;Boa Viagem, Av.;Frei Leandro Camelo, Rua;E/Git;Ocasional/Ped.;N;S;-8.146655;-34.905891
191;José Bonifácio, Rua;Conde de Irajá, Rua;E/Git;Veicular;N;N;-8.046004;-34.907050
192;Real da Torre, Rua;D. Manoel da Costa, Rua;E/Git;Veicular;N;N;-8.047506;-34.909150
193;José Bonifácio, Rua;Padre Anchieta, Rua;E/Git;Veicular;N;N;-8.047199;-34.906653
194;Martins de Barros, Av.;1º de Março, Rua;E/Git;Veicular;N;N;-8.064105;-34.876370
195;Amélia, Rua;Espinheiro, Rua do;E/Git;Veicular;N;N;-8.045854;-34.895336
196;Alfredo Lisboa, Av.;Vital de Oliveira, Rua;E;Ocasional/Ped.;S;N;-8.060701;-34.870413
197;Sol, Rua do;E/F ao Liceu de Artes de PE;E;Ocasional/Ped.;N;N;-8.061107;-34.879324
198;João de Barros, Av.;E/F ao Conservatório Pernam. de Música;E;Ocasional/Ped.;N;N;-8.049146;-34.889967
199;São João, Rua de;Forte, Rua do;E;Ocasional/Ped.;S;N;-8.071040;-34.880820
200;Domingos Ferreira, Av.;Thomé Gibson, Rua;E/Git;Veicular;N;N;-8.098758;-34.886600
201;Belém, Estrada de;Antônio Rangel, Rua;E;Veicular;N;N;-8.035682;-34.888540
202;Cruz Cabugá, Av.;Dna. Maria de Souza, Rua;E/Git;Veic.C/Ped.Ocas.;N;N;-8.040833;-34.872134
203;Nossa Senhora do Carmo, Av.;Imperador, Rua do;E/Git;Veic.C/Ped.Ocas.;N;N;-8.066141;-34.876680
204;Nossa Senhora do Carmo, Av.;Martins de Barros, Av.;E/Git;Veicular;N;N;-8.066107;-34.876245
205;Sul, Av. (Pista principal);Ante do Viaduto Joana Bezerra;E/Git;Ocasional/Ped.;N;N;-8.076835;-34.894778
206;Imperador, Rua do;Siqueira Campos, Rua;E/Git;Veicular;N;N;-8.062875;-34.876975
207;Imperial, Rua;Peixoto, Rua do;E/Git;Veicular;N;N;-8.071997;-34.882352
208;José Rufino, Av. Dr.;Itaenga, Rua;E;Veic.C/Ped.Ocas.;N;N;-8.090837;-34.951214
209;José Mariano, Rua Dr.;Velha, Rua;E;Veicular;N;N;-8.064781;-34.885037
210;Aurora, Rua da;Imperatriz, Rua da;E/Git;Pedestre;S;N;-8.063454;-34.882531
211;Sul, Av. (corredor de ônibus);Ante do Viaduto Joana Bezerra;E/Git;Ocasional/Ped.;N;N;-8.076928;-34.894710
212;Recife, Av.;E/F ao Hotel Reprise;E/Git;Ocasional/Ped.;N;N;-8.103840;-34.927694
213;José Rufino, Av. Dr.;Domingos Teotônio, Rua;E;Ocasional/Ped.;N;N;-8.092925;-34.941609
214;Conselheiro Rosa e Silva, Av.;Malaquias, Av. Dr.;E/Git;Veicular;N;N;-8.038142;-34.900583
215;Futuro, Rua do;Malaquias, Av. Dr.;E/Git;Veicular;N;N;-8.038757;-34.901782
216;Domingos Ferreira, Av.;Padre Carapuceiro, Rua;E/Git;Veicular;N;N;-8.119076;-34.897531
217;Domingos Ferreira, Av.;Ernesto de Paula Santos, Rua;E/Git;Veicular;N;N;-8.124700;-34.900211
218;Mascarenhas de Morais, Av.;Barão de Souza Leão, Rua;E;Ocasional/Ped.;N;N;-8.132591;-34.916230
219;Odete Monteiro, Rua;E/F a Escola Munic. Darcy Ribeiro;E;Ocasional/Ped.;N;N;-8.045980;-34.920842
220;Manoel Borba, Av.;Soledade, Rua da;E/Git;Veicular;N;S;-8.059565;-34.890071
221;Gervásio Pires, Rua;Barão de São Borja, Rua;E/Git;Veicular;N;N;-8.062029;-34.887929
222;Soledade, Rua da;Oliveira Lima, Rua;E/Git;Veicular;N;N;-8.056245;-34.889896
223;Padre Roma, Rua;Futuro, Rua do;E/Git;Veic.C/Ped.;N;N;-8.033814;-34.905615
224;Dom Manoel de Medeiros, Rua;E/F a entrada da UFRPE;E;Ocasional/Ped.;N;N;-8.016905;-34.951408
225;Mascarenhas de Morais, Av.;General Mac. Arthur, Av.;E/Git;Veic.C/Ped.;N;N;-8.108870;-34.911830
226;Antônio de Góis, Av.;Cons. Aguiar, Av.;E/Git;Veicular;N;S;-8.089550;-34.882736
227;Antônio Falcão, Rua;Francisco da Cunha, Rua;E/Git;Veicular;N;N;-8.115157;-34.896684
228;Caxangá, Av.;Est BRT Engenho Poeta (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.034520;-34.950005
229;Caxangá, Av.;São Mateus, Rua;E/Git;Veicular;N;N;-8.041579;-34.937045
230;Caxangá, Av.;Chaves Batista, Rua Prof.;E/Git;Veicular;N;N;-8.037541;-34.944343
231;Caxangá, Av.;General Polidoro, Rua;E/Git;Veicular;N;N;-8.036979;-34.945456
232;Caxangá, Av.;Rodrigues Ferreira, Rua;E/Git;Veicular;N;N;-8.032096;-34.954246
233;Carlos Gomes, Rua;Bongi, Estrada do;E/Git;Veicular;N;N;-8.066040;-34.914151
234;Caxangá, Av.;Inácio Monteiro, Rua;E/Git;Veicular;N;N;-8.045539;-34.929875
235;Caxangá, Av.;Cláudio Brotherhood, Rua;E/Git;Veicular;N;N;-8.046686;-34.927879
236;Caxangá, Av.;Gregório Jr., Rua;E/Git;Veicular;N;N;-8.051658;-34.918898
237;Real da Torre, Rua;Ao Colégio Joaquim Távora, Em frente;E/Git;Ocasional/Ped.;N;N;-8.055776;-34.909047
238;Beberibe, Av.;Frederico, Rua;E/Git;Veicular;N;N;-8.034461;-34.891581
239;São Mateus, Rua;Maurício de Nassau, Av.;E;Veic.C/Ped.Ocas.;N;N;-8.036687;-34.935337
240;Conselheiro Aguiar, Av.;Frei Leandro, Rua;E/Git;Ocasional/Ped.;N;N;-8.102537;-34.887433
241;Conselheiro Aguiar, Av.;Des. João Paes, Rua;E/Git;Ocasional/Ped.;N;N;-8.126841;-34.899838
242;Remédios, Estrada dos;Nicolau Pereira, Rua;E;Veicular;N;N;-8.075989;-34.907286
243;Norte Miguel Arraes de Alencar, Av.;Aurora, Rua da (Ponte Limoeiro);E/Git;Veicular;N;N;-8.049989;-34.873799
244;Visconde de Suassuna, Av.;Gervásio Pires, Rua;E/Git;Veicular;N;N;-8.054486;-34.883273
245;21 de Abril, Rua;Manoel Gonçalves da Luz, Av.;E;Veic.C/Ped.;N;S;-8.075102;-34.918391
246;Barbalho, Estrada do;Maurício de Nassau, Av.;E;Veic.C/Ped.Ocas.;N;N;-8.035471;-34.939850
247;Recife, Av.;Raimundo Diniz, Rua;E/Git;Veicular;N;N;-8.116248;-34.923724
248;Dois Irmãos, Av.;E/F à Fundação Joaquim Nabuco;E;Ocasional/Ped.;S;N;-8.020731;-34.935794
249;Forte, Av. do;Gomes Taborda, Rua;E;Veic.C/Ped.;N;S;-8.053507;-34.928933
250;João Cabral de Melo Neto, Av.;Tenente Mindelo, Rua;;;;;-8.075063;-34.930292
251;17 de Agosto, Av.;Piaui, Rua;E;Ocasional/Ped.;S;N;-8.029358;-34.925824
252;Dom Manoel da Costa, Rua;Padre Landim, Rua;E;Ocasional/Ped.;N;N;-8.047935;-34.912448
253;Conselheiro Rosa e Silva, Av.;José Maria, Rua Dr.;E/Git;Veicular;N;N;-8.034683;-34.902533
254;Bom Pastor, Rua do;Comendador A. de Carvalho, Rua;E;Veicular;N;N;-8.041855;-34.938849
255;Cais da Alfândega;Em frente ao Shopping;E;Ocasional/Ped.;S;N;-8.065063;-34.874110
256;Norte Miguel Arraes de Alencar, Av.;Em frente a Mat. Barros Lima;E/Git;Ocasional/Ped.;N;N;-8.020638;-34.923509
257;Benfica, Rua;Real da Torre, Rua;E/Git;Ocasional/Ped.;N;N;-8.057092;-34.909243
258;Visconde de Jequitinhonha, Av.;Armindo Moura, Av.;E/Git;Veicular;N;N;-8.150556;-34.909229
259;Recife, Av.;Alberto Pasqualine, Rua Senador;E/Git;Veicular;N;N;-8.079617;-34.933912
260;Sul, Av.;Nova da Cabanga, Rua;E/Git;Veicular;N;N;-8.077861;-34.897881
261;Recife, Av.;Nossa Senhora de Fátima, Rua;E/Git;Veic.C/Ped.Ocas.;N;N;-8.082634;-34.932978
262;Caxangá, Av.;Caxangá, Pça. do;E/Git;Veicular;N;N;-8.031644;-34.954884
263;Caxangá, Av.;Estação BRT Túnel da Abolição (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.056418;-34.910079
264;Caxangá, Av.;Estação BRT Túnel da Abolição (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.056584;-34.910117
265;Caxangá, Av.;Estação BRT Getulio Vargas (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.050146;-34.921422
266;Caxangá, Av.;Estação BRT Getulio Vargas (Sub/Cid);E/Git;Pedestre;N;N;-8.050299;-34.921551
267;Caxangá, Av.;Estação BRT Forte do Arraial (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.048130;-34.925055
268;Caxangá, Av.;Estação BRT Forte do Arraial (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.048288;-34.925162
269;Caxangá, Av.;Estação BRT  BR 101 (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.038388;-34.942657
270;Caxangá, Av.;Estação BRT  BR 101 (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.038523;-34.942786
271;Abdias de Carvalho, Av.;Próximo a UPA - Torrões (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.063964;-34.935793
272;Abdias de Carvalho, Av.;Próximo a UPA - Torrões (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.064074;-34.935713
273;Caxangá, Av.;Estação BRT - Zumbi (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.053311;-34.915731
274;Caxangá, Av.;Estação BRT - Zumbi (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.053461;-34.915814
275;Caxangá, Av.;Estação BRT Parque do Cordeiro (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.046260;-34.928452
276;Mascarenhas de Morais, Av.;UPA da Imbiribeira CID/SUB, Em frente a;E/Git;Ocasional/Ped.;N;N;-8.120813;-34.914266
277;Antônio de Góis, Av.;Miranda Falcão, Rua;E/Git;Pedestre;N;N;-8.087743;-34.884504
278;República, Pça. da;Imperador, Rua do;E;Ocasional/Ped.;N;N;-8.061501;-34.877182
279;Mascarenhas de Morais, Av.;Álvaro Amorim, Rua;E/Git;Veic.C/Ped.Paral.;N;N;-8.086972;-34.907580
280;Tomás Gonzaga, Rua;Profº.Estevão Fran. da Costa, Rua;E;Veicular;N;N;-8.048433;-34.919173
281;Joaquim Ribeiro, Av.;Ribeiro Pessoa, Rua;E/Git;Veicular;N;N;-8.030013;-34.958002
282;Jerônimo Vilela, Rua;Franklin Távora, Rua;E;Veicular;N;N;-8.028109;-34.882152
283;Arraial, Estrada do;Paula Batista, Rua;E/Git;Veicular;N;N;-8.026721;-34.916176
284;Nossa Senhora do Carmo, Av.;Dantas Barreto, Av.;E/Git;Veic.C/Ped.;N;N;-8.065891;-34.879036
285;Falcão de Lacerda, Rua;15 de Novembro, Rua;E;Veicular;N;N;-8.092065;-34.961480
286;Mascarenhas de Morais, Av.;Arquiteto Fernando Almeida, Rua;E/Git;Veicular;N;N;-8.088045;-34.907803
287;Mascarenhas de Morais, Av.;Missionário Joel Carlson, Rua;E/Git;Veic.C/Ped.Ocas.;S;N;-8.096481;-34.909728
288;Mascarenhas de Morais, Av.;Alves de Souza, Rua Engº.;E/Git;Veicular;N;N;-8.098453;-34.910102
289;Mascarenhas de Morais, Av.;Dr. Tavares Correia, Rua;E/Git;Veic.C/Ped.Ocas.;N;N;-8.115595;-34.913309
290;Mascarenhas de Morais, Av.;Jornalista Cleóphas de Oliveira, Rua;E/Git;Veicular;N;N;-8.116233;-34.913346
291;Arraial, Estrada do;E/F ao Colégio Dom Bosco;E/Git;Ocasional/Ped.;N;N;-8.028431;-34.910696
292;Rui Barbosa, Av.;Malaquias, Av. Dr.;E/Git;Veicular;N;S;-8.039897;-34.904022
293;Pintor Antonio de Albuquerque, Rua;	Hélio Brandão, RUA;;;;;-8.107744;-34.925727
294;Dom Bosco, Rua;Henrique Dias, Rua;E/Git;Veicular;N;N;-8.058036;-34.894590
295;Arraial, Estrada do;Desemb. Góis Cavalcante, Rua;E/Git;Ocasional/Ped.;N;N;-8.030112;-34.907056
296;Norte Miguel Arraes de Alencar, Av.;Maria Candida Rua;E/Git;Veicular;N;N;-8.012567;-34.931804
297;Domingos Ferreira, Av.;Gilson M. Guimarães (antigo SUPERBOX);E/Git;Veic.C/Ped.Paral.;N;N;-8.105434;-34.889648
298;Ribeiro de Brito, Rua;Visconde de Jequitinhonha, Rua;E/Git;Veicular;N;N;-8.122987;-34.903879
299;Conde da Boa Vista, Av.;Osvaldo Cruz, Rua;E/Git;Veicular;N;N;-8.056664;-34.892671
300;São Miguel, Rua;Amauri Medeiros, Em frente à Esc.;E/Git;Ocasional/Ped.;N;N;-8.080315;-34.908269
301;José Bonifácio, Rua;Vitoriano Palhares, Rua;E/Git;Veicular;N;N;-8.043492;-34.907912
302;Imperial, Rua;E/F à Escola Joaquim Nabuco;E/Git;Ocasional/Ped.;N;N;-8.075855;-34.894062
303;Domingos Ferreira, Av.;Adeth Leite, Rua;E/Git;Veicular;N;N;-8.101935;-34.888044
304;Ernesto de Paula Santos, Rua;Visconde de Jequitinhonha, Rua;E/Git;Veicular;N;N;-8.124081;-34.903819
305;Rui Barbosa, Av.;Alberto Paiva, Rua;E/Git;Veicular;N;S;-8.043981;-34.902188
306;Velha de Água Fria, Estrada;José dos Anjos, Rua Prof.;E;Veicular;N;N;-8.026749;-34.897962
307;Beberibe, Av.;Urbano de Sena, Rua Cel.;E;Veic.C/Ped.Ocas.;N;N;-8.015017;-34.890140
308;João Lira, Rua;Saudade, Rua da;E/Git;Veicular;N;N;-8.056601;-34.879851
309;Conselheiro Rosa e Silva, Av.;E/F ao Hospital do IPSEP;E/Git;Ocasional/Ped.;N;N;-8.047866;-34.896847
310;Mascarenhas de Morais, Av.;UPA da Imbiribeira SUB/CID, Em frente a;E/Git;Ocasional/Ped.;N;N;-8.120907;-34.914121
311;Sul, Av.;Sérgio Loreto, Praça;E/Git;Veicular;N;N;-8.073372;-34.885191
312;Norte Miguel Arraes de Alencar, Av.;Harmonia, Rua da;E/Git;Veicular;N;N;-8.023829;-34.912528
313;21 de Abril, Rua;Antônio Farias, Em frente à Escola;E;Ocasional/Ped.;N;N;-8.072345;-34.925366
314;Beberibe, Av.;Inácio Gomes, Rua Expedicionário;E;Ocasional/Ped.;N;N;-8.004794;-34.893625
315;São Nicolau, Rua;Abdias Cabral De Moura, Rua;;;;;-8.106877;-34.926670
316;Mascarenhas de Morais, Av.;Semáforo Nº 279, Ao lado;E/Git;Ocasional/Ped.;N;N;-8.087051;-34.907504
317;Souza Bandeira, Rua;Marquês de Maricá, Rua;E;Veicular;N;N;-8.047588;-34.917384
318;Conselheiro Aguiar, Av.;Sérgio Cardim, Rua Cel.;E/Git;Veicular;N;N;-8.130807;-34.901285
319;Recife, Av.;Robert Kennedy, Av. Senador;E/Git;Veicular;N;N;-8.119429;-34.920891
320;Sul, Av.;Ponte dos Afogados;E/Git;Veicular;N;N;-8.079511;-34.902473
321;Padre Carapuceiro, Rua;Fernando Simões Barbosa, Av.;E/Git;Veicular;N;N;-8.117528;-34.900801
322;Dez de Julho, Rua;Estação Metrô Aeroporto, E/F;E/Git;Ocasional/Ped.;N;N;-8.134524;-34.914772
323;Dois Rios, Av.;Fernando Tomaz da Silva, Próx. a Rua;E/Git;Veic.C/Ped.Ocas.;S;N;-8.116596;-34.941130
324;Domingos Ferreira, Av.;Antônio Pedro Figueiredo, Rua;E/Git;Veicular;N;N;-8.099950;-34.887130
325;Dois Rios, Av.;Rio Pajeú, Próx. a Rua;E/Git;Ocasional/Ped.;N;N;-8.113534;-34.938989
326;San Martin, Av. Gal.;Delmiro Gouveia, Rua;E/Git;Veic.C/Ped.;S;S;-8.065287;-34.927227
327;Abdias de Carvalho, Av.;Em frente a Estácio - Sub/Cid.;E;Ocasional/Ped.;S;N;-8.062513;-34.917033
328;Abdias de Carvalho, Av.;Em frente à FIR - Cid/Sub.;E;Ocasional/Ped.;S;N;-8.062363;-34.917038
329;Ernesto de Paula Santos, Rua;Fernando Simões Barbosa, Av.;E/Git;Veicular;N;N;-8.124460;-34.901516
330;Ernesto de Paula Santos, Rua;Domingos de Brito, Rua Ten.;E/Git;Veicular;N;N;-8.124127;-34.905228
331;Ribeiro de Brito, Rua;Domingos de Brito, Rua Ten.;E/Git;Veicular;N;N;-8.122961;-34.905213
332;Ribeiro de Brito, Rua;Fernando Simões Barbosa, Av.;E/Git;Veicular;N;N;-8.123331;-34.901447
333;São Miguel, Rua;Santos Araújo, Rua;E/Git;Veicular;N;N;-8.080316;-34.909456
