semaforo;localizacao1;localizacao2;funcionamento;utilizacao;sinalsonoro;sinalizadorciclista;Latitude;Longitude
582;Cais De Santa Rita;Em Frente Ao Edif. Pier Mauricio De Nassau- Sub/Cid;;;;;-8.071584;-34.877446
583;Cais De Santa Rita;Em Frente Ao Edif. Pier Mauricio De Nassau- Cid/Sub;;;;;-8.071508;-34.877486
584;Maria Irene, Av.;Proximo A Rua Cafarnaum;;;;;-8.140728;-34.929391
585;Leonardo B. Cavalcante, Rua.;Praça Jornal Do Commércio;;;;;-8.037385;-34.913637
586;Delmiro Gouveia, Rua;Em frente ao Prédio da CHESF;E;Ocasional/Ped.;S;N;-8.063632;-34.930486
588;Estrada Dos Pintos;Rua Manoel De Medeiros;;;;;-8.016799;-34.951307
589;Rua Odete Monteiro;Rua Prof. Estevão Francisco Da Costa;;;;;-8.047178;-34.918722
593;Encanamento, Estrada do;Ubaias, Estrada das;E/Git;Veicular;N;N;-8.030341;-34.919003
594;Dois Rios, Av.;Em frente ao Nº 110;E/Git;Ocasional/Ped.;N;N;-8.109820;-34.936173
595;Joaquim Nabuco, Rua;Monsenhor Ambrosino Leite, Rua;E/Git;Veicular;N;N;-8.052665;-34.901092
596;Norte Miguel Arraes de Alencar, Av.;E/F a Esc. Munic. Presbitero José Bezerra;E;Ocasional/Ped.;N;N;-8.01846;-34.9285
597;Odete Monteiro, Rua;João Lacerda, Rua Dr.;E;Veic.C/Ped.Ocas.;S;N;-8.045478;-34.921760
598;Harmonia, Rua da;Major Nereu Guerra, Rua;E/Git;Veicular;N;N;-8.026241;-34.913430
599;Recife, Av.;Conj. Inês Andeazza, Em frente ao;E/Git;Ocasional/Ped.;N;N;-8.097522;-34.928591
600;Monsenhor Ambrosino Leite, Rua;Pernambucanas, Rua das;E/Git;Veicular;N;N;-8.050878;-34.901050
601;José Bonifácio, Rua;José de Holanda, Rua;E/Git;Ocasional/Ped.;S;N;-8.044731;-34.907491
